slug,index,Intervention,Time_after_intervention,commits_count,comments,amounts
NServiceBusExtensions,-3,0,0,0,0,0
NServiceBusExtensions,-2,0,0,11,0,0
NServiceBusExtensions,-1,0,0,12,0,0
NServiceBusExtensions,0,1,0,13,3,3
NServiceBusExtensions,1,1,1,3,0,0
NServiceBusExtensions,2,1,2,9,0,0
NServiceBusExtensions,3,1,3,5,0,0
NServiceBusExtensions,4,1,4,3,0,0
NServiceBusExtensions,5,1,5,10,0,1
NServiceBusExtensions,6,1,6,1,0,0
One-Language,-6,0,0,0,0,0
One-Language,-5,0,0,0,0,0
One-Language,-4,0,0,0,0,0
One-Language,-3,0,0,0,0,0
One-Language,-2,0,0,0,0,0
One-Language,-1,0,0,6,0,0
One-Language,0,1,0,62,2,1
One-Language,1,1,1,25,0,0
One-Language,2,1,2,13,0,0
One-Language,3,1,3,0,0,0
One-Language,4,1,4,0,0,0
One-Language,5,1,5,0,0,0
One-Language,6,1,6,0,0,0
OneLiteFeatherNET,-6,0,0,1,0,0
OneLiteFeatherNET,-5,0,0,3,0,0
OneLiteFeatherNET,-4,0,0,0,0,0
OneLiteFeatherNET,-3,0,0,2,0,0
OneLiteFeatherNET,-2,0,0,5,0,0
OneLiteFeatherNET,-1,0,0,7,0,0
OneLiteFeatherNET,0,1,0,35,0,7
OneLiteFeatherNET,1,1,1,3,0,2
OneLiteFeatherNET,2,1,2,9,0,2
OneLiteFeatherNET,3,1,3,4,0,1
OneLiteFeatherNET,4,1,4,10,1,5
OneLiteFeatherNET,5,1,5,27,0,0
OneLiteFeatherNET,6,1,6,11,0,0
Open-Bootcamp,-6,0,0,0,0,0
Open-Bootcamp,-5,0,0,22,0,0
Open-Bootcamp,-4,0,0,22,0,0
Open-Bootcamp,-3,0,0,14,0,0
Open-Bootcamp,-2,0,0,51,0,0
Open-Bootcamp,-1,0,0,6,0,0
Open-Bootcamp,0,1,0,4,3,2
Open-Bootcamp,1,1,1,6,0,0
Open-Bootcamp,2,1,2,40,0,2
Open-Bootcamp,3,1,3,3,0,1
Open-Bootcamp,4,1,4,0,0,2
Open-Bootcamp,5,1,5,60,20,32
Open-Bootcamp,6,1,6,155,0,15
Open-Science-Community-Saudi-Arabia,-6,0,0,0,0,0
Open-Science-Community-Saudi-Arabia,-5,0,0,12,0,0
Open-Science-Community-Saudi-Arabia,-4,0,0,25,0,0
Open-Science-Community-Saudi-Arabia,-3,0,0,6,0,0
Open-Science-Community-Saudi-Arabia,-2,0,0,14,0,0
Open-Science-Community-Saudi-Arabia,-1,0,0,1,0,0
Open-Science-Community-Saudi-Arabia,0,1,0,47,187,41
Open-Science-Community-Saudi-Arabia,1,1,1,39,3,5
Open-Science-Community-Saudi-Arabia,2,1,2,19,2,3
Open-Science-Community-Saudi-Arabia,3,1,3,53,30,6
