slug,index,Intervention,Time_after_intervention,releases_count,comments,amounts
electerm,-1,0,0,1,0,0
electerm,0,1,0,8,28,13
electerm,1,1,1,3,26,17
electerm,2,1,2,8,0,0
electerm,3,1,3,5,0,0
electerm,4,1,4,3,0,0
electerm,5,1,5,0,0,0
electerm,6,1,6,0,0,0
final-form,-6,0,0,0,0,0
final-form,-5,0,0,0,0,0
final-form,-4,0,0,0,0,0
final-form,-3,0,0,0,0,0
final-form,-2,0,0,0,0,0
final-form,-1,0,0,6,0,0
final-form,0,1,0,6,3,1
final-form,1,1,1,1,0,0
final-form,2,1,2,3,0,0
final-form,3,1,3,0,0,0
final-form,4,1,4,0,0,0
final-form,5,1,5,5,0,0
final-form,6,1,6,1,1,2
flutter-webrtc,-6,0,0,0,0,0
flutter-webrtc,-5,0,0,2,0,0
flutter-webrtc,-4,0,0,4,0,0
flutter-webrtc,-3,0,0,2,0,0
flutter-webrtc,-2,0,0,1,0,0
flutter-webrtc,-1,0,0,4,0,0
flutter-webrtc,0,1,0,2,4,7
flutter-webrtc,1,1,1,4,6,8
flutter-webrtc,2,1,2,2,8,15
flutter-webrtc,3,1,3,4,0,0
flutter-webrtc,4,1,4,3,0,0
flutter-webrtc,5,1,5,2,0,0
flutter-webrtc,6,1,6,0,0,0
flyimg,-6,0,0,0,0,0
flyimg,-5,0,0,4,0,0
flyimg,-4,0,0,5,0,0
flyimg,-3,0,0,3,0,0
flyimg,-2,0,0,3,0,0
flyimg,-1,0,0,2,0,0
flyimg,0,1,0,1,1,1
flyimg,1,1,1,0,0,0
flyimg,2,1,2,0,0,0
flyimg,3,1,3,1,0,0
flyimg,4,1,4,0,0,0
flyimg,5,1,5,0,0,0
flyimg,6,1,6,0,0,0
gdm-settings,-6,0,0,0,0,0
gdm-settings,-5,0,0,0,0,0
gdm-settings,-4,0,0,0,0,0
gdm-settings,-3,0,0,0,0,0
gdm-settings,-2,0,0,0,0,0
gdm-settings,-1,0,0,3,0,0
gdm-settings,0,1,0,1,2,1
gdm-settings,1,1,1,1,2,2
gdm-settings,2,1,2,0,0,0
gdm-settings,3,1,3,0,0,0
gdm-settings,4,1,4,5,0,0
gdm-settings,5,1,5,2,42,1
gdm-settings,6,1,6,1,0,0
hoppscotch,-6,0,0,2,0,0
hoppscotch,-5,0,0,3,0,0
hoppscotch,-4,0,0,3,0,0
hoppscotch,-3,0,0,5,0,0
hoppscotch,-2,0,0,3,0,0
hoppscotch,-1,0,0,1,0,0
hoppscotch,0,1,0,3,9,30
hoppscotch,1,1,1,1,0,0
hoppscotch,2,1,2,5,0,0
hoppscotch,3,1,3,2,0,0
hoppscotch,4,1,4,0,0,0
hoppscotch,5,1,5,0,0,0
hoppscotch,6,1,6,0,0,0
immers-space,-6,0,0,0,0,0
immers-space,-5,0,0,0,0,0
immers-space,-4,0,0,0,0,0
immers-space,-3,0,0,0,0,0
immers-space,-2,0,0,0,0,0
immers-space,-1,0,0,1,0,0
immers-space,0,1,0,2,10,2
immers-space,1,1,1,4,1,4
immers-space,2,1,2,2,1,1
immers-space,3,1,3,1,4,1
immers-space,4,1,4,1,8,5
immers-space,5,1,5,4,0,2
immers-space,6,1,6,2,0,0
jaeles-project,-6,0,0,0,0,0
jaeles-project,-5,0,0,0,0,0
jaeles-project,-4,0,0,0,0,0
jaeles-project,-3,0,0,2,0,0
jaeles-project,-2,0,0,1,0,0
jaeles-project,-1,0,0,1,0,0
jaeles-project,0,1,0,2,15,1
jaeles-project,1,1,1,1,0,0
